,xup,zup,xlow,zlow
0,0.0,0.0,0.0,0.0
1,0.461,0.509,0.539,-0.409
2,0.707,0.622,0.793,-0.482
3,1.202,0.798,1.298,-0.584
4,2.447,1.102,2.553,-0.73
5,4.941,1.572,5.059,-0.94
6,7.439,1.947,7.561,-1.099
7,9.939,2.268,10.061,-1.234
8,14.942,2.791,15.058,-1.445
9,19.947,3.196,20.053,-1.604
10,24.954,3.513,25.046,-1.723
11,29.962,3.754,30.038,-1.81
12,34.971,3.929,35.029,-1.869
13,39.981,4.042,40.019,-1.9
14,44.99,4.095,45.01,-1.905
15,50.0,4.088,50.0,-1.882
16,55.009,4.02,54.991,-1.83
17,60.018,3.886,59.982,-1.744
18,65.026,3.641,64.974,-1.581
19,70.031,3.288,69.969,-1.344
20,75.034,2.848,74.966,-1.058
21,80.034,2.339,79.966,-0.747
22,85.031,1.78,84.969,-0.434
23,90.023,1.182,89.977,-0.148
24,95.012,0.578,94.988,0.054
25,100.0,0.0,100.0,0.0
